times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
1	False	betteroceanmonuments	expanded monument chests	loot-seed	magic	M-02	ACCEPT	{'ACCEPT': 1}	deep-sea vault chests yield rare magic reagents (Ars source shards, Occultism ritual materials), making the overhauled m
1	False	betteroceanmonuments	monument chests as bare loot	—	—	M-15	REJECT	{'REJECT': 1}	vanilla loot enrichment alone (better swords, books) is not a weave — the weave must connect to a loop system; M-15 and 
1	False	betteroceanmonuments	betteroceanmonuments expanded monument (ocean-biome-exclusive structure — only ocean-settling players control monument access)	GTMOGS regional distribution (monuments in deep ocean biomes; landlocked players have no access to monument loot, monument-seeded reagents, or prismarine-scale quantities)	economy	M-30	ACCEPT	{'ACCEPT': 1}	a land-locked Create engineer needs prismarine conduit components and monument-seeded magic reagents — they can't reach 
1	False	betteroceanmonuments	monument chest loot (ocean-monument-exclusive deep-ocean structure)	loot-seed	economy	M-30	ACCEPT	{'ACCEPT': 1}	whatever is seeded into monument chests is by geography region-locked to ocean players — a land-locked Create engineer w
2	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb (crafted explosive trap)	createbigcannons:cartridge_assembly	create	M-29	REJECT	{'REJECT': 2}	a pipebomb-as-cartridge-filler is thematically adjacent but the pipebomb is a trap/gag item, not an anti-armor munition;
1	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb	createbigcannons:cartridge_assembly (pipebomb as improvised projectile component)	create		REJECT	{'REJECT': 1}	no-motif — the link to CBC ammo assembly has no registered motif; would need Gate-0 to establish a new "improvised munit
1	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb (rigged Create package)	recipe (create:sequenced_assembly or crafting)	survival	M-06	REJECT	{'REJECT': 1}	no-motif — there is no accepted motif for "explosive trap output"; forcing it into M-06 (sequenced-assembly keystone) is
1	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb / gunpowder trap	recipe	economy		REJECT	{'REJECT': 1}	no motif covers "trap as trade good"; thematically it's a prank, not sellable; no-motif → reject-for-review
1	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb (rigged package explosive)	create:deploying	create	M-20	REJECT	{'REJECT': 1}	M-20 (deploy-application upgrade) is for applying a woven part onto a base to upgrade it — not for applying an explosive
1	True	cmpackagepipebomb	pipebomb_rigged (explosive payload)	createbigcannons munition assembly	create		REJECT	{'REJECT': 1}	no-motif; it's a one-shot PvP gag riding create:package delivery, consuming vanilla TNT/gunpowder. Routing it into canno
1	False	cmpackagepipebomb	cmpackagepipebomb:tnt_rigged	loot-seed	survival	M-02	REJECT	{'REJECT': 1}	M-02 is mob-drop→magic/economy reagent; a trap item seeded into loot doesn't fit that motif (it's not a mob drop, and th
1	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb	createbigcannons:cartridge_assembly	create	M-24	REJECT	{'REJECT': 1}	the pipe bomb is a small-scale improvised trap, not a vehicle propulsion component; routing it through Create Big Cannon
1	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb (crafting)	create:sequenced_assembly	create	M-06	REJECT	{'REJECT': 1}	a joke/PvP prank mod should stay lightweight; gating the pipe bomb behind a sequenced assembly chain (M-06 is for endgam
1	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb_rigged	createbigcannons:cartridge_assembly or tacz:gun_smith_table_crafting	survival	M-34	REJECT	{'REJECT': 1}	The pipe bomb is a PvP novelty trap, not a boss-supply or danger-route item. Routing it through Big Cannons assembly or 
1	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb	design-level gag	survival		REJECT	{'REJECT': 1}	No motif fits the "package trap detonates on delivery" mechanic in a loop-advancing way. Fun flavor but genuinely zero w
1	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb (TNT-based, consumes gunpowder)	minecolonies guard hut / combat supply	economy	M-34	REJECT	{'REJECT': 1}	M-34 is for boss-drop trading (a combat specialist farms a boss drop and trades it to non-combat players); pipebombs are
1	False	cmpackagepipebomb	pipebomb (TNT/gunpowder explosive delivered by Create package)	createbigcannons:cartridge_assembly (or vanilla crafting)	survival	M-34	REJECT	{'REJECT': 1}	the cartridge_assembly route is thematically strained — a package-bomb is a prank/trap, not a munition manufactured for 
1	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb_rigged (booby-trapped package)	createimmersivetacz ammo chain — nitropowder fluid fills the pipebomb for a more powerful variant, requiring the ammo factory	create	M-29	ACCEPT	{'ACCEPT': 1}	upgrading a pipebomb to nitropowder fill forces the prankster to source the ammo specialist's industrial chemistry — a c
1	False	cmpackagepipebomb	pipebomb (gunpowder/TNT + Create package delivery)	createbigcannons:caseless_munition_assembly (or cartridge_assembly)	create	M-29	ACCEPT	{'ACCEPT': 1}	a packaged pipe bomb is a one-shot improvised munition — routing its crafting through the Create Big Cannons munition as
1	False	cmpackagepipebomb	pipebomb as a combat-supply good	emergent trade (the pvp trap economy)	economy	M-34	ACCEPT	{'ACCEPT': 1}	a combat specialist who can fab pipebombs and mail them in packages creates a genuine supply/demand — the "delivery weap
1	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb (gunpowder base)	tfmg:vat_machine_recipe (chemical enrichment of explosive compound)	create	M-12	REJECT	{'REJECT': 1}	Power-read: this is a novelty item. Gating a prank bomb behind TFMG chemistry adds unwanted depth to a gag item (briefin
1	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb_rigged	createbigcannons:cartridge_assembly or munition context	create	M-34	REJECT	{'REJECT': 1}	The pipebomb is a package-trap gag, not a munition in the Create Big Cannons sense — it's a booby-trap delivered via Cre
1	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb (explosive payload via Create packages)	create:deploying (assembler primes a pipebomb during package assembly)	survival	M-20	ACCEPT	{'ACCEPT': 1}	A Create Deployer pre-arms the pipebomb during package assembly on a contraption — the trap is industrially manufactured
1	False	cmpackagepipebomb	cmpackagepipebomb:pipebomb_rigged	createbigcannons:cartridge_assembly (a pipe bomb casing pre-filled with CBC powder as a booby-trap charge)	survival	M-29	REJECT	{'REJECT': 1}	Crossing Create Big Cannons' ammo assembly with a novelty prank item is a thematic tone-clash — CBC is a serious heavy-a
1	False	cmpackagepipebomb	cmpackagepipebomb:tnt_rigged	survivial danger-pressure (booby-trapped postboxes)	survival	M-26	REJECT	{'REJECT': 1}	M-26 is a consumption sink (an item *spent* against pressure). A rigged package consumes TNT, but the consumption is the
4	False	createadditionallogistics	createadditionallogistics flexible shafts (omnidirectional kinetics)	recipe	aeronautics	M-24	ACCEPT	{'ACCEPT': 3, 'REJECT': 1}	Flexible shafts that connect any direction are exactly what a ship's mechanical drivetrain needs to route power to prope
2	False	createadditionallogistics	flexible shaft / lazy cogwheel (kinetic infra parts)	create:mechanical_crafting	aeronautics	M-24	REJECT	{'REJECT': 2}	flexible shafts are drive-train components but they are generic kinetics infrastructure, not specifically propulsion or 
2	False	createadditionallogistics	flexible shafts (omnidirectional kinetic routing) as bulk-logistics ship infrastructure	Aeronautics contraption build	aeronautics	M-23	REJECT	{'REJECT': 2}	createadditionallogistics' flexible shafts are kinetic routing QoL, not a structural/hull material (M-23 is for load-bea
2	False	createadditionallogistics	lazy shaft/cogwheel blocks (bulk infrastructure components)	minecolonies colony route	economy	M-28	ACCEPT	{'ACCEPT': 1, 'REJECT': 1}	a large Create factory needs dozens of lazy shafts; a colony Blacksmith/Mechanic produces them cheaply at scale, making 
1	False	createadditionallogistics	createadditionallogistics:brass_encased_lazy_cogwheel / brass_encased_lazy_shaft	recipe (create:mechanical_crafting)	aeronautics	M-24	ACCEPT	{'ACCEPT': 1}	brass lazy cogwheels are an efficient intermediate for Aeronautics control linkages — performance-tuned gearing that red
1	False	createadditionallogistics	createadditionallogistics:andesite_encased_lazy_cogwheel (entry-tier)	recipe (create:deploying / item_application)	aeronautics	M-20	ACCEPT	{'ACCEPT': 1}	deploy a lazy cogwheel onto a basic shaft segment to upgrade it to a ship-grade lazy assembly in one step — light single
1	False	createadditionallogistics	createadditionallogistics:brass_encased_lazy_shaft	recipe (create:mechanical_crafting)	aeronautics	M-24	REJECT	{'REJECT': 1}	Lazy shafts are a performance infrastructure piece, not a drivetrain component in the Aeronautics sense; treating them a
1	False	createadditionallogistics	createadditionallogistics:flexible_shaft variants	create:mechanical_crafting	aeronautics	M-24	REJECT	{'REJECT': 1}	Flexible shafts are transmission elements, not drivetrain/propulsion/control for Aeronautics — they belong to the Create
1	False	createadditionallogistics	createadditionallogistics:andesite_encased_lazy_cogwheel (infrastructure kinetic part)	create:crushing (crush-back → andesite alloy + gear fragment; M-04)	create	M-04	REJECT	{'REJECT': 1}	The cogwheels are functional kinetics parts, not decorative blocks. Crush-recycling infrastructure-grade kinetics gear i
1	False	createadditionallogistics	createadditionallogistics:brass_encased_lazy_shaft / cogwheel (large-run shaft components)	recipe as structural components required in Aeronautics airframe/hull builds	aeronautics	M-23	REJECT	{'REJECT': 1}	createadditionallogistics is already anchored to both Create and aeronautics; adding M-23 would be a third edge on a mod
1	False	createadditionallogistics	flexible shaft components	create:deploying item_application	create	M-20	REJECT	{'REJECT': 1}	flexible shafts are already crafted from Create parts; adding a second deploy-upgrade step on top of what is a QoL shaft
1	False	createadditionallogistics	createadditionallogistics:brass_encased_flexible_shaft	aeronautics construction recipe	aeronautics	M-24	ACCEPT	{'ACCEPT': 1}	routing torque around a ship's hull needs flexible shaft joints — the brass flexible shaft becomes a required drivetrain
1	False	createadditionallogistics	lazy shafts/cogs as bulk expendable	n/a (ambient consumption)	economy		REJECT	{'REJECT': 1}	ambient use, not a method-routing weave; consumption happens with no cross-system method to cite
1	False	createadditionallogistics	lazy shafts/cogwheels	aeronautics contraption builds	aeronautics	M-24	REJECT	{'REJECT': 1}	lazy cogwheels/shafts are general Create kinetics components, not a drivetrain for Aeronautics propulsion/control specif
1	False	createadditionallogistics	createadditionallogistics short/tall seats (Stock Keeper mobs)	aeronautics train logistics	aeronautics	M-31	ACCEPT	{'ACCEPT': 1}	seat sizing for different Stock Keeper mobs is specifically a logistics/train design detail; a logistician speccing out 
1	False	createadditionallogistics	createadditionallogistics	bare MineColonies colony route	economy	M-28	REJECT	{'REJECT': 1}	the lazy shaft is a kinetics convenience block, not a colony-required or colony-exclusive output; routing it through M-2
8	True	createbigcannons	cannon-grade steel ingot (createbigcannons:steel_ingot)	create:* processing → numismatics mint	economy	M-08	ACCEPT	{'ACCEPT': 7, 'REJECT': 1}	cannon-grade steel is scarce processed metal, mintable as coin from regional scarcity
6	True	createbigcannons	createbigcannons shells/munitions (big_cartridge, cartridge, grapeshot)	M-34 combat-route supply	economy	M-34	ACCEPT	{'ACCEPT': 6}	a munitions specialist makes shells and sells them to crews who want ship cannons but haven't set up a foundry — the art
4	False	createbigcannons	createbigcannons:steel_ingot (`c:ingots/steel`)	recipe — steel as a structural airframe input (already shared via c:tags with M-23)	aeronautics	M-23	ACCEPT	{'REJECT': 1, 'ACCEPT': 3}	This is already the existing aeronautics anchor via M-23 (structural alloy → airframe); recording it as a new candidate 
4	False	createbigcannons	createbigcannons:big_cartridge / shells	emergent trade	economy	M-34	ACCEPT	{'ACCEPT': 4}	Munitions are a high-value consumable produced by a Create metallurgy specialist and traded to combat/raider players — t
3	False	createbigcannons	createbigcannons items	MineColonies	economy	M-28	ACCEPT	{'REJECT': 1, 'ACCEPT': 2}	MineColonies can produce basic iron/steel, but cannon components (cartridges, fuzes, cannon mounts) are specialized mili
3	True	createbigcannons	createbigcannons munitions/shells (consumed when fired)	consumption sink (fired & destroyed)	economy	M-26	ACCEPT	{'ACCEPT': 3}	shells are spent every shot, so a combat player's demand for munitions never zeroes — the munitions specialist always ha
3	False	createbigcannons	createbigcannons:steel_ingot / cast_iron_ingot (c:ingots/steel, c:ingots/cast_iron — new metals in the common tag)	GTMOGS regional ore-gen gate	economy	M-30	ACCEPT	{'ACCEPT': 3}	steel and cast iron are cannon-grade metals scarce enough to be region-differentiated; the player who controls a steel-r
2	False	createbigcannons	createbigcannons loot tables (loot=yes)	loot-seed	economy	M-08	REJECT	{'REJECT': 1, 'ACCEPT': 1}	CBC's loot is cannon-battle-salvage, not a natural economy seed point; the material flow is production → economy via sal
2	True	createbigcannons	cannon-grade steel / cast_iron / bronze (c:ingots/{steel,cast_iron,bronze})	numismatics mint as scarce fabricated metal	economy	M-08	ACCEPT	{'ACCEPT': 2}	CBC provides its own steel/cast-iron foundry chain; a metallurgist who runs the melt+cast route mints cannon-grade ingot
2	False	createbigcannons	createbigcannons:cast_iron_ingot / nethersteel_ingot (its own metal c:tags)	create:crushing or tfmg:hot_blast (as scrap input)	create	M-03	REJECT	{'REJECT': 1, 'ACCEPT': 1}	CBC already deep-integrates with Create's own material ladder (it uses create:compacting, mixing, sequenced_assembly per
2	False	createbigcannons	createbigcannons:cast_iron_ingot (c:ingots/cast_iron)	create_ironworks cross-tag (shared c:ingots)	create	M-12	REJECT	{'REJECT': 2}	the cross-mod metal tag sharing is a de-facto unification benefit, not a authored weave; there's no method to route it t
2	False	createbigcannons	createbigcannons:nethersteel_ingot (c:ingots/nethersteel)	occultism:spirit_fire or ars_nouveau:imbuement — nether-origin alloy attuned into a magic-hardened shell component	magic	M-10	ACCEPT	{'ACCEPT': 2}	nethersteel came from the Nether and responds to arcane infusion — the mage's blessing is what makes the shell penetrate
2	False	createbigcannons	createbigcannons:cannon_mount (mechanical control surface)	aeronautics drivetrain/control recipe	aeronautics	M-24	ACCEPT	{'ACCEPT': 2}	the cannon mount/carriage is a mechanical aiming mechanism — folding it into Aeronautics turret-control or swivel-mount 
2	False	createbigcannons	createbigcannons loot (boss drops / structure chests)	loot-seed — seed cannon-grade components into structure/boss loot	survival	M-02	ACCEPT	{'ACCEPT': 2}	rare fuze components or exotic propellant formulas seeded into dungeon loot give exploration a direct payoff for the art
2	False	createbigcannons	createbigcannons	ars_nouveau:enchanting_apparatus	magic	M-29	REJECT	{'REJECT': 1, 'ACCEPT': 1}	enchanting a cannon barrel in an Ars Nouveau apparatus is thematically absurd — arcane inscription on artillery has no l
1	True	createbigcannons	bronze/cast_iron/steel cannon parts (cast in foundry)	aeronautics construction recipe	aeronautics	M-23	ACCEPT	{'ACCEPT': 1}	heavy cast cannon plate is the structural feedstock for armored naval/air gun-platforms — deepens the aeronautics build 
1	False	createbigcannons	createbigcannons:nethersteel (nether-alloy, endgame tier)	`occultism:spirit_fire` — nethersteel scrap transmuted into an occult metal (spiritual resonance of nether-forged steel)	magic	M-11	REJECT	{'REJECT': 1}	Nethersteel is a military-industrial material; routing it through spirit fire to produce an occult reagent is a tonal cl
1	False	createbigcannons	createbigcannons:big_cartridge_sheet	create:pressing	create	M-20	REJECT	{'REJECT': 1}	create:pressing already routes through Create's own methods and CBC's dossier states it already uses create:compacting, 
1	True	createbigcannons	built-up steel/nethersteel cannon barrels & breeches (endgame components)	boss signature drop as a gate input on the nethersteel-tier assembly	survival	M-15	ACCEPT	{'ACCEPT': 1}	nethersteel is the top cannon tier; gating the built-up nethersteel barrel behind a boss drop puts the heaviest artiller
1	True	createbigcannons	cannon foundry melting / casting feedstock	create:crushing deco-recycle into the foundry	create	M-04	REJECT	{'REJECT': 1}	CBC already HAS its own native `melting` method that recycles metal — adding a parallel create:crushing recycle on canno
1	False	createbigcannons	createbigcannons nethersteel (the highest-tier metal)	occultism:ritual / spirit_fire	magic	M-11	REJECT	{'REJECT': 1}	nethersteel is an endgame military metal — routing it through occult ritual as a magic reagent is tonally arbitrary (it'
1	False	createbigcannons	createbigcannons cast_iron / bronze (lower-tier metals, c:tags shared)	create:crushing	create	M-03	REJECT	{'REJECT': 1}	M-03 covers ore→crushed ore doubling for a reward; CBC's metals arrive as already-processed ingots/blocks cast in the fo
1	False	createbigcannons	createbigcannons cannon barrel / breech blocks (structural components)	aeronautics hull construction	aeronautics	M-24	ACCEPT	{'ACCEPT': 1}	Cast cannon barrels as ship-mounted weapon housings require structural alloy fitting — the mechanical component feeding 
1	False	createbigcannons	createbigcannons:nethersteel_ingot	occultism:spirit_fire (haunt raw nethersteel precursor)	magic	M-19	ACCEPT	{'ACCEPT': 1}	nethersteel is forged in the nether's soul-fire — an occult haunting step yields the spirit-tempered ingot; Create-meets
1	False	createbigcannons	createbigcannons:bronze_cannon_barrel	create:sequenced_assembly as M-23 structural component	aeronautics	M-23	REJECT	{'REJECT': 1}	cannon barrels are weapons, not airframe hull/structural members. M-23 targets structural alloy plates/beams for hull co
1	False	createbigcannons	createbigcannons cannon barrel / structural blocks	aeronautics airframe recipe	aeronautics	M-23	REJECT	{'REJECT': 1}	M-23 is already covered by the aeronautics+create anchor; adding cannon barrel blocks as a required airframe component w
1	False	createbigcannons	createbigcannons: cannon mounts on Aeronautics ships	M-23/M-24 (structural alloy + mechanical component for cannon mounts)	aeronautics	M-24	REJECT	{'REJECT': 1}	the cannon-mount-on-ships aeronautics link is ALREADY the core of the existing aeronautics anchor; adding M-24 would re-
1	False	createbigcannons	createbigcannons:cast_iron_ingot / nethersteel_ingot (its own proprietary alloys)	numismatics mint → M-08	economy	M-08	REJECT	{'REJECT': 1}	M-08 routes scarce regional metal → Create-processed → coin; nethersteel/cast_iron are createbigcannons internal alloys,
1	False	createbigcannons	createbigcannons:steel_ingot / createbigcannons:nethersteel_ingot (c:ingots/steel, c:ingots/nethersteel)	createbigcannons:melting + create:mixing (foundry melt into cannon alloy)	survival	M-15	ACCEPT	{'ACCEPT': 1}	boss drops (e.g. Cataclysm / Warden loot) gate the nethersteel formula in the CBC foundry — the fighter's path to naval 
1	False	createbigcannons	createbigcannons:nethersteel (c:ingots/nethersteel)	create:haunting or endgame recipe	magic	M-10	ACCEPT	{'ACCEPT': 1}	Nethersteel requires soul-fire or nether-heat synthesis — it's already flirting with the arcane. Running nethersteel thr
1	False	createbigcannons	createbigcannons:cannon_mount on an Aeronautics ship (deployed, combat)	service-for-hire	economy	M-33	ACCEPT	{'ACCEPT': 1}	A player with a gunship performs fire-support as a paid service — a logistics/combat service the aeronautics arm enables
1	False	createbigcannons	createbigcannons:cast_iron_ingot (c:ingots/cast_iron)	create:crushing	create	M-04	REJECT	{'REJECT': 1}	cast_iron is already a primary Create-adjacent material (createbigcannons is itself a Create mod); crushing its own stor
1	False	createbigcannons	createbigcannons:steel_ingot / cast_iron_ingot (c:ingots/steel, c:ingots/cast_iron)	create:crushing → ore-doubling or create:sequenced_assembly → cannon-grade alloy	create	M-06	ACCEPT	{'ACCEPT': 1}	cannon-grade steel is endgame-deep; a sequenced-assembly chain forging cast_iron → refined steel → cannon barrel links t
1	False	createbigcannons	createbigcannons:cannon blocks (barrel/chamber)	aeronautics airframe/hull construction	aeronautics	M-23	ACCEPT	{'ACCEPT': 1}	mounting a cannon on a ship requires reinforced structural blocks; cannon-grade cast-iron/steel hull segments as a requi
1	False	createbigcannons	createbigcannons:steel_ingot / cast_iron / nethersteel (c:ingots/steel etc.)	create:crushing (ore-doubling path)	create	M-03	ACCEPT	{'ACCEPT': 1}	CBC provides the pack's dedicated steel/cast-iron tags; those ores should double through the Crusher like every other or
1	False	createbigcannons	createbigcannons:nethersteel (c:ingots/nethersteel, endgame metal)	regional-scarcity (nethersteel = Nether-region locked)	economy	M-30	ACCEPT	{'ACCEPT': 1}	nethersteel only comes from Nether forging; a player who hasn't built a Nether infrastructure must trade for it — the hi
1	False	createbigcannons	createbigcannons:cannon_mount + barrel blocks	create:sequenced_assembly	create	M-06	ACCEPT	{'ACCEPT': 1}	the highest-tier cannon barrel (built_up_steel/nethersteel) assembled through a sequenced-assembly chain with intermedia
1	False	createbigcannons	createbigcannons shell casings (brass/bronze/steel scrap post-fire)	create:crushing	create	M-32	ACCEPT	{'ACCEPT': 1}	spent shell casings recovered from the battlefield crush to metal scraps — industrial circularity that rewards combat cl
1	True	createbigcannons	createbigcannons cannon-grade steel/nethersteel	KubeJS cross-route requiring a magic or colony input	production	M-29	ACCEPT	{'ACCEPT': 1}	top-tier nethersteel munitions need an input from another route, forcing the cannoneer to trade rather than self-supply.
1	True	createbigcannons	createbigcannons gunpowder/propellant	tfmg sulfur/saltpeter byproduct as feedstock	production	M-32	ACCEPT	{'ACCEPT': 1}	TFMG coke-oven sulfur/saltpeter feeds the propellant chain — industry waste arms the cannons (pairs with tfmg M-32 above
1	False	createbigcannons	`createbigcannons:*_shell` / munitions	emergent combat trade	economy	M-34	ACCEPT	{'ACCEPT': 1}	a munitions-smith specializes in cannon shell production (the Create foundry chain is non-trivial); non-combat players b
1	False	createbigcannons	`createbigcannons:cast_iron_ingot` / cannon parts as MineColonies-requestable components	MineColonies request	economy	M-28	ACCEPT	{'ACCEPT': 1}	a colony's Guard Tower or Barracks could request cast-iron or bronze cannon fittings (defense upgrade) — demand flows th
1	False	createbigcannons	createbigcannons:cannon_mount / barrel blocks (heavy structural castings)	aeronautics airframe recipes	aeronautics	M-23	REJECT	{'REJECT': 1}	cannon mounts are weapons, not structural airframe material — M-23 is for load-bearing hull/structural alloy; a cannon m
1	False	createbigcannons	createbigcannons:nethersteel components (Nether-tier cannon metal)	create:sequenced_assembly multi-step chain	create	M-06	ACCEPT	{'ACCEPT': 1}	nethersteel cannon barrels deserve a deep multi-stage sequenced-assembly chain (anneal → bore → rifling → proof-test) — 
1	False	createbigcannons	createbigcannons::steel_ingot → mint (Create-processed cannon-grade steel → player-pressed coin)	create:pressing → numismatics mint	economy	M-08	REJECT	{'REJECT': 1}	steel is the cannon material first; having it mint as coin AND as a cannon input creates ambiguous value — the M-30 regi
1	False	createbigcannons	createbigcannons:big_cartridge / AP shell (endgame munitions)	MineColonies research gate	economy	M-37	ACCEPT	{'ACCEPT': 1}	Advanced munition assembly (cluster/HA shells, tracer application) requires a MineColonies Ballistics research node to u
1	False	createbigcannons	createbigcannons cannon drop loot	loot-seed	survival	M-34	ACCEPT	{'ACCEPT': 1}	Cannon-equipped enemies (the Illager Engineer from createmechanicalcompanion shares the combat ecosystem) drop a cannon-
1	False	createbigcannons	createbigcannons:steel_ingot	tfmg:hot_blast / industrial_blasting (TFMG blast furnace as steel source)	create	M-29	ACCEPT	{'ACCEPT': 1}	TFMG's blast furnace is the natural steel-smelting route in the pack; gating cannon-grade steel on TFMG industrial proce
1	False	createbigcannons	createbigcannons:cast_iron_ingot / steel_ingot	createbigcannons:melting (CBC foundry)	create	M-32	ACCEPT	{'ACCEPT': 1}	scrap metal (broken cannon parts, misfired shot) cycles back into the foundry as feedstock — industrial circularity that
1	False	createbigcannons	createbigcannons:nethersteel_ingot	create:sequenced_assembly	create	M-06	REJECT	{'REJECT': 1}	nethersteel is already CBC's own top-tier cannon material gated behind Nether access; wrapping it in another Create sequ
1	False	createbigcannons	createbigcannons:shells/cartridges (finished munitions)	emergent trade / crafted by munitions specialist	economy	M-34	ACCEPT	{'ACCEPT': 1}	running the cannon foundry is its own specialization — other players buy shells from the one who mastered it
