mod	decision	link	motif	milestone	detail	ratified	ratify_note
aeronautics	CUT	aeronautics:levitite→magic gate via M-10 (bare framing row)	M-10		motif M-10 | reason: blank hook field, times_suggested=1 — covered by KEEP levitite→magic; duplicate	CUT	
aeronautics	CUT	borehead bearing→create:crushing (M-03 ore-doubling)	M-03		motif M-03/M-04 | reason: established inbound; the borehead mines standard ores already processable by crushing; no new weave to author; REJECT dominant	CUT	
aeronautics	CUT	adjustable_burner→aeronautics M-13 (duplicate row with to_pillar=aeronautics)	M-13		motif M-13 | reason: duplicate-of KEEP M-13; pillar label differs but delivery is identical	CUT	
aeronautics	CUT	aeronautics rope/dock→design-intent loot	M-08		motif M-08 | reason: pure narrative suggestion (build trading posts near docks); no recipe surface; REJECT dominant	CUT	
aeronautics	MERGE	levitite crystallization→magic (4 rows: times_suggested 8,7,5,4 all M-10, top two opus-corroborated partial)	M-10		into: KEEP levitite→magic M-10 | reason: same delivery (KubeJS catalyst-adjacent), same pillar, phrasing varies; keep highest-times_suggested, fold rest	MERGE	
aeronautics	MERGE	adjustable_burner fuel-tag extension (rows at times_suggested 11,2,2,2,1,1,1 targeting create/aeronautics/survival)	M-13		into: KEEP M-13 fuel→propulsion | reason: all propose the same config/tag-JSON change; to_pillar labels vary; representative is the 11× ACCEPT row	MERGE	
aeronautics	MERGE	levitite zinc-gated regional commodity (rows M-30 at times_suggested 4,1,1,1; also M-08 rows that are really scarcity-gate)	M-30		into: KEEP M-30 regional-scarcity gate | reason: all expressing the same zinc-lock economic fact; M-08 rows that describe the SAME scarcity are MERGEd here (minting is create_ironworks' job)	MERGE	
aeronautics	MERGE	structural alloy (M-23) + drivetrain (M-24) rows at various times_suggested (M-23: 1,1,1,1; M-24: 1,1,1,1,1)	M-23		into: KEEP M-23+M-24 combined | reason: hull and drivetrain are two faces of the same "airship is built from Create fabricated parts" weave; merge all matching rows	MERGE	
aeronautics	MERGE	levitite_blend crystallization→magic via M-07 galosphere catalyst (1× opus)	M-07		into: KEEP levitite→magic M-10 | reason: galosphere attunement shard as the catalyst is a valid refinement of the same delivery (M-07 rides inside M-10 as anti-arbitrage guard); fold in as implementation note	MERGE	
aeronautics	MERGE	levitite→magic M-22 lunar gating (2×, ACCEPT)	M-22		into: KEEP levitite→magic M-10 | reason: lunar-gated crystallization is a valid flavour addition on the same in-world step; treat as delivery option alongside the catalyst-adjacent route; merge rather than split into a separate anchor	MERGE	
aeronautics	MERGE	portable_engine already-sequenced_assembly (existing) documenting rows (M-06/M-24 at times_suggested=1 each, jar-confirmed)	M-06		into: KEEP M-23+M-24 | reason: confirming an existing inbound weave; no new delivery action needed	MERGE	
aeronautics	MERGE	aeronautics M-15 boss-key for portable engine (netherite jetpack, boss-drop input)	M-15		into: DEFER (see below) | reason: different mechanism (boss gate) that competes with the sequenced-assembly chain; route to playtest to avoid double-pathing	MERGE	
aeronautics	MERGE	aeronautics:portable_engine→magic via M-29 cross-route (high split: ACCEPT=1/REJECT=1, also M-29 REJECT=1 from a separate row)	M-29		into: CUT portable_engine→magic | reason: REJECT dominant across comparable rows; the engine is already complex; fold into the CUT	MERGE	
aeronautics	MERGE	docking connector → economy M-31 logistics-required bulk good (multiple rows, all times_suggested=1)	M-31		into: CUT rope/dock rows | reason: all share the no-method defect; none have a recipe/loot-seed deliverable	MERGE	
aeronautics	DEFER	portable_engine boss-key tier gate	M-15		motif M-15 | →playtest: confirm whether the top-tier engine variant (netherite-grade) should require a boss drop before authoring a cross-route that could double-path the item; decision affects create_sa rows too	DROPPED	sweep P2: resolve the DEFER as no — double boss-gating one pillar over-gates it; revisit only if playtest shows engines trivializing tiers.
aeronautics_dyeable_components	LEAVE				pure cosmetic add-on; all candidates are REJECT-dominant; no motif survives the "no forced cosmetic weave" and "economy is player-run" rules	LEAVE	
aileron	KEEP	aileron loot tables (enchant books) → survival	M-34	v0.9.0	motif M-34 | delivery: loot-seed (seed aileron's Elytra enchantment books into end-tier / dangerous-structure loot tables as rare discoverable upgrade books) | milestone: v0.13.0 | why "of course": premium glide-boost books aren't in the shop — you find them in ruins; the Elytra becomes an exploration reward, not a crafting target; adds a combat-supply dimension to Elytra hunting	DONE	sweep P2: loot digest — aileron:chests/end_city_treasure_elytra_enchants natively injects cloudskipper/smokestack books into minec
aileron	CUT	aileron Elytra enchantments → magic (M-10 via enchanting_apparatus)	M-10		motif M-10 | reason: top ACCEPT (26×) but flagged "conditional and not authorable as stated" — aileron enchants are injected into the standard enchantment pool; the Enchanting Apparatus cannot be targeted at them specifically; not authorable without a confirmed API surface; the survival loot-seed KEEP is the actionable form	CUT	
aileron	MERGE	aileron loot tables → survival (M-34, 4×)	M-34		into: KEEP above | reason: same loot-seed delivery, lower times_suggested	MERGE	
aileron	MERGE	aileron Elytra enchantments → survival (M-34, 1×)	M-34		into: KEEP above | reason: identical intent	MERGE	
aileron	MERGE	aileron loot drops → survival (M-02, 1×)	M-02		into: KEEP above | reason: M-02 is wrong motif (not mob drops); the correct frame is M-34 loot-seed — folded	MERGE	
aileron	CUT	aileron Elytra enchantments → magic (M-10, 2×)	M-10		motif M-10 | reason: duplicate of first CUT above; lower times_suggested, REJECT consensus	CUT	
aileron	CUT	aileron Elytra enchantments via ars apparatus (1×)	M-10		motif M-10 | reason: same API-surface problem; consensus REJECT	CUT	
aileron	CUT	aileron → create (config-tie fuel/recharge, 2×)			no motif | reason: no motif; would require inventing new mechanic; consensus REJECT	CUT	
aileron	CUT	aileron Elytra enchants as aeronautics premium loot (2×)			no motif | reason: reinforces existing aeronautics anchor, not a new one; no motif; REJECT	CUT	
aileron	CUT	aileron Elytra enchants → create via M-20 deploying (2×)	M-20		motif M-20 | reason: enchantments are not woven physical parts; M-20 requires a crafted component; REJECT consensus	CUT	
aileron	CUT	aileron enchants → create via M-29 grinding (2×)	M-29		motif M-29 | reason: grinding enchants into XP is backward direction, not a forward dependency; no new anchor; REJECT	CUT	
aileron	CUT	aileron Elytra → create via M-12 milling (1×)	M-12		motif M-12 | reason: no item surface to route; behavior-only mod; REJECT	CUT	
aileron	CUT	aileron flight rebalance → survival/no anchor (1×)			no motif | reason: no item surface; REJECT	CUT	
aileron	CUT	aileron loot → magic M-10 (1×, apparatus ACCEPT)	M-10		motif M-10 | reason: single ACCEPT without corroboration; API surface unconfirmed; the loot-seed KEEP is the better form	CUT	
aileron	CUT	aileron Elytra as aeronautics peer (behavioral, 1×)	M-33		motif M-33 | reason: emergent play not a designed weave; REJECT	CUT	
aileron	CUT	aileron loot → aeronautics (M-29, 1×)	M-29		motif M-29 | reason: aileron has no item namespace to seed into aeronautics; REJECT	CUT	
aileron	CUT	worn Elytra → repair service (M-33, 1×)	M-33		motif M-33 | reason: vanilla Mending already handles Elytra repair; thin; REJECT	CUT	
alcohol_industry	KEEP	alcohol_industry→economy	M-28	v0.11.0	motif M-28 | delivery: config (MineColonies tavern/inn building requests bottled spirits as upkeep; distillery specialist is designated supplier) | milestone: v0.9.0 | why "of course": colony tavern drinks through the supply faster than anyone brews alone [RESCOPED@sweep S03: deliver via recruitment-item config + food-tag servability so cooks serve spirits; verify exact config key in-game — no minecolonies config shipped yet.]	KEEP	
alcohol_industry	KEEP	alcohol_industry→survival	M-12	v0.9.0	motif M-12 | delivery: recipe (spirits/beer as a solvent/ingredient in ExtraDelight vat reductions and sauce intermediates) | milestone: v0.13.0 | why "of course": deglaze a sauce with whiskey — the distillery feeds the kitchen	KEEP	
alcohol_industry	KEEP	alcohol_industry→magic	M-10	v0.11.0	motif M-10 | delivery: recipe (irons_spellbooks:alchemist_cauldron_brew accepting a distilled spirit as the cauldron base for higher-potency brews) | milestone: v0.11.0 | why "of course": alchemists have always wanted a high-proof spirit as a solvent; the cauldron takes it as a brew base	KEEP	
alcohol_industry	KEEP	alcohol_industry→economy	M-35	v0.13.0	motif M-35 | delivery: recipe (raw-distilled spirits gain a maturing step in create_cheese:maturing or extradelight:evaporator before final bottling; aged bottles are a distinct output) | milestone: v0.9.0 | why "of course": whiskey that sits earns its premium — the aging specialist times the run [BALANCE-PENDING@sweep: additive premium only, never replace raw bottling (depth-scales). [BALANCE-PENDING: aged-vs-raw premium needs a real demand-side rate from play]]	KEEP	
alcohol_industry	MERGE	alcohol_industry:finished liquors (beer/vodka/whiskey/tequila) as repeating consumables M-26	M-26		into: M-28 KEEP | reason: colony tavern demand already captures the consumption-sink pressure; a second sink entry for "player drinks them for buffs" is ambient, not a new weave edge	MERGE	
alcohol_industry	MERGE	alcohol_industry:whiskey/tequila (raw-distilled) → create_cheese:maturing rows (×3)	M-35		into: M-35 KEEP | reason: all three rows describe the same maturing step with slightly different phrasings; prefer the ACCEPT×2 opus-adjacent row	MERGE	
alcohol_industry	MERGE	alcohol_industry:alcohol_base fluid (M-29 cross-route dependency via irons_spellbooks)	M-29		into: M-10 KEEP | reason: the iron's cauldron KEEP already captures the cross-route logic; a separate M-29 re-entry double-counts the same seam	MERGE	
alcohol_industry	MERGE	alcohol_industry finished spirits as colony-requested luxury (×3 lower-suggest rows)	M-28		into: M-28 KEEP | reason: near-duplicates of the tavern-demand KEEP; prefer the 3-suggest row	MERGE	
alcohol_industry	MERGE	alcohol_industry:alcohol_base fluid → extradelight:vat solvent (×2 rows, spirits/beer)	M-12		into: M-12 KEEP | reason: both express the same vat-solvent link; prefer the 2-suggest ACCEPT row	MERGE	
alcohol_industry	MERGE	alcohol_industry:alcohol_base (M-35 — alcohol_boiling IS the maturation, 1 row)	M-35		into: M-35 KEEP | reason: near-duplicate framing of the same aging weave	MERGE	
alcohol_industry	MERGE	alcohol_industry:whiskey/vodka/tequila → extradelight:vat/evaporator (M-12 survival, 2 rows)	M-12		into: M-12 KEEP | reason: same pillar, same delivery method as the kept row	MERGE	
alcohol_industry	MERGE	alcohol_industry:beer/vodka/whiskey/tequila → create:sequenced_assembly as aging step (1 row M-35)	M-35		into: M-35 KEEP | reason: sequenced-assembly framing is a valid delivery alternative but describes the same aging-value link	MERGE	
alcohol_industry	CUT	alcohol_industry:alcohol_base → create:mixing (as further Create input)	M-12		motif M-12 | reason: circular — alcohol_base is already assembled *via* create:mixing/filling; making it a further Create input is self-referential (REJECT×2 dominant)	CUT	
alcohol_industry	CUT	alcohol_industry:alcohol_base → ars_nouveau:imbuement / occultism:ritual (×4 rows)	M-10		motif M-10 | reason: REJECT-dominant (4:4 split); spirits as arcane catalyst has no grounding in the pack's magic reagent vocabulary (Ars/Iron's use crystalline/organic esoteric materials); tone clash	CUT	
alcohol_industry	CUT	alcohol_industry:tequila/whiskey → tfmg:distillation (×5 rows)	M-12		motif M-12/M-32 | reason: TFMG distillation processes petroleum/industrial fluids — routing potable spirits through an industrial petroleum column is a tone mismatch; REJECT dominant on all rows	CUT	
alcohol_industry	CUT	alcohol_industry:alcohol_base/spirits as fuel → createaddition:liquid_burning (×2 rows)	M-13		motif M-13 | reason: the mod's spirits are modeled as drinkable goods, not fuels; cross-namespace fluid compatibility unconfirmed; REJECT dominant	CUT	
alcohol_industry	CUT	alcohol_industry:alcohol_base → create:haunting (M-19)	M-19		reason: haunting is soul-fire themed; routing liquor through soul-fire is incoherent; REJECT	CUT	
alcohol_industry	CUT	alcohol_industry:whiskey/vodka → emergent aeronautics cargo (M-31)	M-31		reason: 1 suggest, thin; the M-28 colony route already creates the demand pressure that would drive logistics; a separate logistics-required framing needs a stronger signal	CUT	
alcohol_industry	CUT	alcohol_industry:whiskey/vodka regional-flavor emergent trade (M-30)	M-30		reason: 1 suggest; regional scarcity of grain inputs is ambient world design, not an authored weave edge; no delivery mechanism	CUT	
alcohol_industry	CUT	alcohol_industry distillation waste → minecolonies:composting (M-32)	M-32		reason: no registered byproduct output — the Alcohol Boiler produces only finished spirits; a byproduct would require custom authoring not in scope; REJECT	CUT	
alcohol_industry	CUT	alcohol_industry:alcohol_base → create:mixing with seasonal-gated crop (M-16)	M-16		reason: 1 suggest; Serene Seasons does not gate grain crops by season in a mechanic way that creates genuine scarcity; the link is ambient farming flavour, not a mechanical gate	CUT	
alcohol_industry	CUT	alcohol_industry:beer (grain ferment) Serene Seasons seasonal crop gating (M-16, 2 rows)	M-16		reason: same as above; seasonal framing is flavour, not a mechanical stop on production; 1-2 suggests only	CUT	
alexsmobs	KEEP	alexsmobs drops (void_worm_beak) → create	M-15	v0.9.0	motif M-15 | delivery: loot-seed (boss drop as KubeJS gate input on a high-tier Create/aeronautics recipe) | milestone: v0.7.0 | why "of course": the Void Worm is the pack's End apex predator; its beak as a progression gate into advanced tech is the DESIGN on-ramp note verbatim	KEEP	rehomed v0.7.0->v0.9.0
alexsmobs	KEEP	alexsmobs:ambergris (rare ocean mob drop) → magic	M-10	v0.11.0	motif M-10 | delivery: recipe (ars_nouveau:imbuement — ambergris refined into an arcane reagent) | milestone: v0.11.0 | why "of course": ambergris is historically an alchemical prize; bioluminescent deep-sea organics feeding arcane infusion is an immediate "of course"	KEEP	
alexsmobs	KEEP	alexsmobs exotic drops (ambergris / ender_residue / void_worm parts) → magic	M-11	v0.11.0	motif M-11 | delivery: recipe (occultism:spirit_fire transmutation — exotic drops → occult essences) | milestone: v0.11.0 | why "of course": spirit-fire is the universal transmutation furnace; eldritch mob remains crackling in it is the clearest possible match [RESCOPED@sweep S03: narrow inputs to ender_residue + void_worm_eye/mandible; spirit_fire delivery unchanged (shipped 34/35 schema); ambergris stays M-10's, beak M-15's.]	KEEP	
alexsmobs	KEEP	alexsmobs rare drops (void_worm_beak / ambergris / ender_residue) → economy	M-34	v0.13.0	motif M-34 | delivery: emergent (combat/ocean specialists hunt and trade to magic/Create players; no recipe needed) | milestone: v0.9.0 | why "of course": someone has to go hunt the Void Worm; the rest of the server buys the beak — bosses are dual-role (M-15 gate + M-34 supply)	KEEP	
alexsmobs	CUT	alexsmobs:bear_dust/bone-type drops → create:crushing	M-02		motif M-02 | reason: vanilla bones already crush; bear dust adds no meaningful Create edge — hook text itself flags this as "not a meaningful intermediate"	CUT	
alexsmobs	CUT	alexsmobs:bear_dust → occultism:ritual	M-02		motif M-02 | reason: duplicate-of kept M-11 (spirit_fire is the universal transmutation sink for mob drops; a separate ritual path for bear dust adds no depth)	CUT	
alexsmobs	CUT	alexsmobs:ambergris → occultism:spirit_fire	M-11		motif M-11 | reason: duplicate-of kept M-10 (ambergris is already KEEP via ars_nouveau imbuement; double-routing the same item into spirit_fire ambiguates ownership — reagent-ownership conflict)	CUT	
alexsmobs	CUT	alexsmobs:banana / acacia_blossom → farmersdelight:cutting / extradelight:juicer	M-12		motif M-12 | reason: REJECT-consensus; adds a survival anchor but alexsmobs already has three kept pillars; banana is also flagged as tone-adjacent meme content	CUT	
alexsmobs	CUT	alexsmobs:banana → farmersdelight:cooking / extradelight:vat (ferment→spirit)	M-12		motif M-12 | reason: duplicate/weaker of previous banana row; economy endpoint without distinctive demand-gate; tone clash note also applies	CUT	
alexsmobs	CUT	alexsmobs:skunk_spray → create:mixing	M-12		motif M-12 | reason: REJECT-consensus; comedic/situational drop with no natural industrial use; the hook text itself calls it out	CUT	
alexsmobs	CUT	alexsmobs:ender_residue → ars_nouveau:imbuement	M-10		motif M-10 | reason: duplicate-of kept M-11 (ender_residue is already covered as a spirit_fire drop → essence; double-spending on imbuement creates reagent ambiguity)	CUT	
alexsmobs	CUT	alexsmobs:ender_residue → create:haunting	M-19		motif M-19 | reason: ender_residue is already kept as M-11 spirit_fire reagent; a second Create-haunting route for the same item double-spends it with no unique output	CUT	
alexsmobs	CUT	alexsmobs:void_worm_beak → occultism:ritual (boss-key ritual component)	M-15		motif M-15 | reason: duplicate-of kept M-15 (beak is the gate item for Create/tech; splitting it across Create AND Occultism ritual dilutes the gate — one boss-key gate per drop per reagent-ownership rules)	CUT	
alexsmobs	CUT	alexsmobs:void_worm_beak / ender_residue → ars_nouveau:imbuement	M-02		motif M-02/M-10 | reason: duplicate-of kept M-15 (beak) and M-11 (ender_residue); multiple imbuement proposals at times_suggested=1 add nothing over the kept entries	CUT	
alexsmobs	CUT	alexsmobs mob bones/shells/dust → create:crushing / mixing	M-03		motif M-03 | reason: mixed-consensus (2/2); vanilla bones crush already; shells/dust lack distinctive downstream use; depth-scales-with-power rule cuts this basic-item Create route	CUT	
alexsmobs	CUT	alexsmobs:bear_fur / bison_fur → cold_sweat sewing table	M-26		motif M-26 | reason: ACCEPT-consensus but alexsmobs already has 3 kept anchors; a 4th survival anchor via cold_sweat is additional depth without a second-pillar gain (fur→insulation lands in survival, not a new pillar); candidate for later addition if cold_sweat weaves need suppliers, but not here	CUT	
alexsmobs	CUT	alexsmobs:leafcutter_anthill → create:milling (leaf-mush → fertilizer)	M-12		motif M-12 | reason: REJECT-consensus; anthill is a passive living block, not a recipe-type material; the "milling anthill output" framing has no coherent method	CUT	
alexsmobs	CUT	alexsmobs:leafcutter_anthill → minecolonies colony requests	M-28		motif M-28 | reason: REJECT-consensus; the anthill is player-placed, not a colony building route; M-28 requires a mod's output to be cheaper/faster via colony hut	CUT	
alexsmobs	CUT	alexsmobs:leafcutter_ant_chamber → tfmg:vat_machine_recipe (biomass → fuel)	M-32		motif M-32 | reason: times_suggested=1, no opus; the anthill-biomass-to-TFMG-fuel chain is speculative and too thin to warrant a weave entry	CUT	
alexsmobs	CUT	alexsmobs:leafcutter_anthill → economy M-33 service	M-33		motif M-33 | reason: times_suggested=1; leaf-mold service is too ambient — not a distinctive service a specialist would be hired for	CUT	
alexsmobs	CUT	alexsmobs:ambergris → create:milling	M-12		motif M-12/M-03 | reason: ambergris is already kept via M-10 (magic infusion); crushing/milling it into a Create feedstock double-spends the reagent	CUT	
alexsmobs	CUT	alexsmobs:ambergris → occultism:spirit_trade	M-18		motif M-18 | reason: REJECT; ambergris already kept as M-10 imbuement reagent; adding spirit_trade creates ambiguity on a reserved item	CUT	
alexsmobs	CUT	alexsmobs:ambergris → GTMOGS regional distribution	M-30		motif M-30 | reason: times_suggested=1; the regional-scarcity angle is real but ambergris's economy role is already covered by M-34 (combat/ocean specialist supply); no new weave needed	CUT	
alexsmobs	CUT	alexsmobs:ambergris → create_cheese:maturing	M-35		motif M-35 | reason: times_suggested=1; the aging-cellar ambergris story is creative but requires adding M-35 as a second anchor that conflicts with the established M-10 magic path; reagent over-commitment	CUT	
alexsmobs	CUT	alexsmobs:void_worm_effigy → deco			reason: no-motif; functional boss item re-framed as decoration is explicitly rejected in the triage rules	CUT	
alexsmobs	CUT	alexsmobs:void_worm_beak → create:crushing (exotic powder)	M-02		motif M-02 | reason: REJECT-consensus; beak is already the M-15 boss-key gate item; routing it through crushing risks diluting the gate progression item	CUT	
alexsmobs	CUT	alexsmobs:transmutation_table → magic recipe			reason: no-motif; alexsmobs' own mechanic, routing foreign material through it doesn't compose with any approved motif	CUT	
alexsmobs	CUT	alexsmobs:banana / banana_slug_slime / acacia_blossom → create:crushing/milling	M-03		motif M-03 | reason: REJECT-consensus; tone-clash; everyday food-level items through the crusher reads as absurd comedy	CUT	
alexsmobs	CUT	alexsmobs:banana_slug_slime → create:mixing (adhesive)	M-12		motif M-12 | reason: times_suggested=1; highly situational; no downstream recipe demand established	CUT	
alexsmobs	CUT	alexsmobs:skunk_spray (rare) → irons_spellbooks:alchemist_cauldron_brew	M-10		motif M-10 | reason: times_suggested=1; skunk spray is flagged as comedic/situational in all its rows; forcing it into a magic cauldron is tone-clash	CUT	
alexsmobs	CUT	alexsmobs:leafcutter_anthill → economy/sellable	M-09		motif M-09-adjacent | reason: retired-economy; no distinct demand-gate	CUT	
alexsmobs	CUT	alexsmobs seasonal-spawn gate → Serene Seasons config	M-16		motif M-16 | reason: REJECT; no documented seasonal spawn restriction in alexsmobs; speculative config tie	CUT	
alexsmobs	MERGE	alexsmobs:bear_dust → occultism:spirit_fire (M-11, times_suggested=2)	M-11		into: kept M-11 (exotic drops → spirit_fire) | reason: bear_dust is a standard mob drop; it folds into the general "mob drops → spirit-fire transmutation" kept entry without needing a dedicated row	MERGE	
alexsmobs	MERGE	alexsmobs:void_worm_beak → boss-key Create recipe (times_suggested=2, 2, 1, 1, 1 across M-15 variants)	M-15		into: kept M-15 | reason: all near-duplicate M-15 void_worm_beak rows consolidate into the single KEEP	MERGE	
alexsmobs	MERGE	alexsmobs:ambergris → magic (M-02 via occultism:ritual, times_suggested=1)	M-02		into: kept M-10 (ambergris → ars_nouveau:imbuement) | reason: near-duplicate magic anchor; M-10 (imbuement) is the higher-signal path; fold the weaker M-02 ritual proposal in	MERGE	
alexsmobs	MERGE	alexsmobs mob drops (general M-34 combat-supply, times_suggested=7, opus-corroborated)	M-34		into: kept M-34 | reason: the opus-corroborated broad framing is the canonical statement; all single-item M-34 sub-rows merge into it	MERGE	
alexsmobs	MERGE	alexsmobs:ender_residue → occultism:spirit_fire (M-02, M-11, 8+3 times_suggested, non-beak)	M-02		into: kept M-11 (exotic drops → spirit_fire) | reason: ender_residue is the clearest spirit-fire candidate; its multiple proposal rows all collapse into the single broad M-11 KEEP	MERGE	
alexsmobs	DEFER	alexsmobs:bear_fur / bison_fur → cold_sweat sewing table	M-26		motif M-26 | →playtest (confirm cold_sweat accepts alexsmobs fur by tag before wiring a demand-gate recipe; no KubeJS recipe to author without tag confirmation)	DEFER	
almostunified	LEAVE				pure config/unification layer; zero content items; the one candidate row is REJECT consensus and has no motif — it operates on the recipe graph, not within it	LEAVE	
appleseed	KEEP	diet-variety demand→create	M-26	v0.9.0	motif M-26 | delivery: config (demand driver, no recipe — mechanic auto-reads food graph) | milestone: v0.7.0 | why "of course": balanced diet requires covering all five nutrient groups; a player who only eats bread starves on buffs — the diet gap is what makes diverse farm/cooking output necessary; pulls on the Create spine's food-processing capacity permanently	KEEP	rehomed v0.7.0->v0.9.0
appleseed	KEEP	seasonal-crop diet stress→survival	M-16	v0.9.0	motif M-16 | delivery: config (Serene Seasons crop-fertility + diet-group assignment) | milestone: v0.13.0 | why "of course": out-of-season crops push specific diet groups into seasonal scarcity — winter stress on one group forces players to store or trade around the calendar; diet + seasons is a natural pressure axis	DROPPED	singleton corpus row with REJECT consensus (works against the diet design rather than feeding it); appleseed keeps its M-26 anchor
appleseed	CUT	diet-variety demand signal→create (M-12 row, times=7)	M-12		motif M-12 | reason: duplicate-of kept M-26 row (both express "diet drives diverse-food demand"; M-26 is the correct motif for a consumption sink; M-12 is for a processing-chain pull on a material, not a demand mechanic)	CUT	
appleseed	CUT	diet-variety demand signal→create (M-26, times=5)	M-26		motif M-26 | reason: duplicate-of kept M-26 KEEP (same link, lower times_suggested, opus-corroborated row already kept above)	CUT	
appleseed	CUT	diet-variety demand→create (M-26, times=3, config tuning)	M-26		motif M-26 | reason: duplicate-of kept M-26 KEEP	CUT	
appleseed	CUT	diet-variety demand→economy (M-26, times=3 REJECT)	M-26		motif M-26 | reason: economy endpoint is ambient ("food is tradeable" is the loop's ambient result, not a weave); the demand signal belongs on the create/survival pillar, not economy	CUT	
appleseed	CUT	appleseed diet buff→magic (times=6, REJECT)			motif blank | reason: no coherent magic method; diet groups are abstract HUD mechanics, not items that route through imbuement; all-REJECT consensus	CUT	
